##Refuelling
"Odometer (km)","Date","Fuel","Price / L","Total cost","Volume","Filled tank completely","Second fuel","Price / L","Total cost","Volume","Filled tank completely" 2,"Third fuel","Price / L","Total cost","Volume","Filled tank completely" 3,"Fuel efficiency","Gas station","Reason","Notes"
"11234","2019-10-16 16:08:35","Gas Premium","6.199","58.89","9.5","Yes","","0","0","0","No","","0","0","0","No","25.158 km/L","Br Casa Forte","",""
"10995","2019-10-04 06:42:52","Gas Premium","6.199","67.45","10.881","Yes","","0","0","0","No","","0","0","0","No","22.701 km/L","Br Casa Forte","",""
"10748","2019-09-26 13:09:47","Gas Premium","6.199","58.46","9.431","Yes","","0","0","0","No","","0","0","0","No","22.162 km/L","Br Casa Forte","",""
"10539","2019-09-19 15:11:03","Gas Premium","6.599","65","9.85","Yes","","0","0","0","No","","0","0","0","No","21.929 km/L","Posto Varadouro","",""
"10323","2019-09-12 14:11:35","Gas Premium","6.599","63.15","9.57","Yes","","0","0","0","No","","0","0","0","No","22.258 km/L","Posto Varadouro","",""
"10110","2019-09-05 16:00:32","Gas Premium","6.599","61.833","9.37","Yes","","0","0","0","No","","0","0","0","No","22.198 km/L","Posto Varadouro","",""
"9902","2019-08-29 08:03:02","Gas Premium","6.599","78","11.82","Yes","","0","0","0","No","","0","0","0","No","21.151 km/L","Posto Varadouro","",""
"9652","2019-08-21 14:37:59","Gasoline","4.257","46.87","11.01","Yes","","0","0","0","No","","0","0","0","No","19.8 km/L","Posto Varadouro","",""
"9434","2019-08-13 17:00:42","Gas Premium","6.599","60.975","9.24","Yes","","0","0","0","No","","0","0","0","No","22.619 km/L","Posto Varadouro","",""
"9225","2019-08-05 12:56:58","Gas Premium","6.599","60.18","9.12","Yes","","0","0","0","No","","0","0","0","No","22.26 km/L","Posto Varadouro","",""
"9022","2019-08-01 10:26:52","Gasoline","4.399","32.51","7.39","Yes","","0","0","0","No","","0","0","0","No","21.515 km/L","Petrobras pg Prime","",""
"8863","2019-07-29 08:27:34","Gas Premium","6.599","60.38","9.15","Yes","","0","0","0","No","","0","0","0","No","21.968 km/L","Posto Varadouro","",""
"8662","2019-06-10 07:15:06","Gas Premium","6.599","61.57","9.33","Yes","","0","0","0","No","","0","0","0","No","21.757 km/L","Posto Varadouro","",""
"8459","2019-06-01 09:49:35","Gas Premium","6.599","66.518","10.08","Yes","","0","0","0","No","","0","0","0","No","21.726 km/L","Posto Varadouro","",""
"8240","2019-05-29 09:02:13","Gasoline","4.599","32.74","7.119","Yes","","0","0","0","No","","0","0","0","No","19.385 km/L","Petrobras pg Prime","",""
"8102","2019-05-28 07:06:53","Gas Premium","6.599","47.97","7.269","Yes","","0","0","0","No","","0","0","0","No","20.085 km/L","Posto Varadouro","",""
"7956","2019-05-21 15:06:45","Gas Premium","6.599","61.239","9.28","Yes","","0","0","0","No","","0","0","0","No","20.905 km/L","Posto Varadouro","",""
"7762","2019-05-15 07:19:19","Gas Premium","6.599","52.53","7.96","Yes","","0","0","0","No","","0","0","0","No","22.487 km/L","Posto Varadouro","",""
"7583","2019-05-09 07:10:52","Gas Premium","6.599","66.32","10.05","Yes","","0","0","0","No","","0","0","0","No","21.891 km/L","Posto Varadouro","",""
"7363","2019-04-29 06:47:46","Gas Premium","6.599","74.701","11.32","Yes","","0","0","0","No","","0","0","0","No","18.728 km/L","Posto Varadouro","",""
"7151","2019-04-24 10:46:49","Gasoline","4.399","28.37","6.449","Yes","","0","0","0","No","","0","0","0","No","23.414 km/L","Petrobras pg Prime","",""
"7000","2019-04-22 13:23:49","Gas Premium","6.599","55.37","8.391","Yes","","0","0","0","No","","0","0","0","No","21.572 km/L","Posto Varadouro","",""
"6819","2019-04-10 16:16:02","Gas Premium","6.599","68.89","10.439","Yes","","0","0","0","No","","0","0","0","No","21.649 km/L","Posto Varadouro","",""
"6593","2019-04-03 16:35:27","Gas Premium","6.599","69.03","10.461","Yes","","0","0","0","No","","0","0","0","No","21.318 km/L","Posto Varadouro","",""
"6370","2019-03-27 17:04:32","Gasoline","4.499","46.52","10.34","Yes","","0","0","0","No","","0","0","0","No","0 km/L","Posto Varadouro","",""

